hotel_name,hotel_id,rating,review_count,vendor,price,city,checkin,checkout
Doubletree By Hilton New York Downtown,1858923,3.5,3434,Unavailable,Unavailable,New York,2025-12-05,2025-12-11
Motto by Hilton New York City Chelsea,23448880,4.8,1867,Unavailable,Unavailable,New York,2025-12-05,2025-12-11
The Evelyn Hotel,99389,4.8,1477,Unavailable,Unavailable,New York,2025-12-05,2025-12-11
Embassy Suites By Hilton New York Manhattan Times Square,11998087,4.1,2410,Unavailable,Unavailable,New York,2025-12-05,2025-12-11
"Homewood Suites by Hilton New York/Midtown Manhattan Times Square-South, NY",5040757,4.5,5281,Unavailable,Unavailable,New York,2025-12-05,2025-12-11
Pod Times Square,12551350,4.3,3453,Unavailable,Unavailable,New York,2025-12-05,2025-12-11
Millennium Hilton New York One Un Plaza,209382,3.9,1882,Unavailable,Unavailable,New York,2025-12-05,2025-12-11
The Bryant Park Hotel,224214,4.7,5414,Unavailable,Unavailable,New York,2025-12-05,2025-12-11
Hilton Garden Inn NYC Financial Center / Manhattan Downtown,12297961,4.6,1571,Unavailable,Unavailable,New York,2025-12-05,2025-12-11
Arlo Soho,7891458,4.6,3830,Unavailable,Unavailable,New York,2025-12-05,2025-12-11
Broadway Plaza Hotel,223019,4.9,426,Unavailable,Unavailable,New York,2025-12-05,2025-12-11
Crowne Plaza HY36 Midtown Manhattan by IHG,11854022,4.7,2062,Unavailable,Unavailable,New York,2025-12-05,2025-12-11
Hampton Inn Manhattan-Madison Square Garden Area,498869,4.2,2695,Unavailable,Unavailable,New York,2025-12-05,2025-12-11
Arlo NoMad,10541730,4.6,2687,Unavailable,Unavailable,New York,2025-12-05,2025-12-11
Hotel Belleclaire,93390,4.2,5801,Unavailable,Unavailable,New York,2025-12-05,2025-12-11
Ameritania at Times Square Hotel,99332,4.3,8053,Unavailable,Unavailable,New York,2025-12-05,2025-12-11
LUMA Hotel Times Square,10679074,4.8,3569,Unavailable,Unavailable,New York,2025-12-05,2025-12-11
Hard Rock Hotel New York,23627300,4.6,1664,Unavailable,Unavailable,New York,2025-12-05,2025-12-11
"The Draper New York, Tapestry Collection by Hilton",20021058,4.4,638,Unavailable,Unavailable,New York,2025-12-05,2025-12-11
PUBLIC Hotel,12533513,4.6,2427,Unavailable,Unavailable,New York,2025-12-05,2025-12-11
Moxy NYC Times Square,12301470,4.3,4378,Unavailable,Unavailable,New York,2025-12-05,2025-12-11
Artezen Hotel,15237449,4.9,793,Unavailable,Unavailable,New York,2025-12-05,2025-12-11
Pestana Park Avenue,19120877,4.8,836,Unavailable,Unavailable,New York,2025-12-05,2025-12-11
The Lucerne Hotel,99281,4.4,3492,Unavailable,Unavailable,New York,2025-12-05,2025-12-11
"The Bernic Hotel New York City, Tapestry Collection by Hilton",8776490,4.4,997,Unavailable,Unavailable,New York,2025-12-05,2025-12-11
Hampton Inn Manhattan/Times Square Central,8035866,4.5,3867,Unavailable,Unavailable,New York,2025-12-05,2025-12-11
The Grayson Hotel,24083873,4.5,779,Unavailable,Unavailable,New York,2025-12-05,2025-12-11
Park Terrace Hotel,15135187,4.8,2705,Unavailable,Unavailable,New York,2025-12-05,2025-12-11
DoubleTree by Hilton Hotel New York City Chelsea,1214829,3.7,2829,Unavailable,Unavailable,New York,2025-12-05,2025-12-11
DoubleTree by Hilton New York Times Square South,19105227,4.5,915,Unavailable,Unavailable,New York,2025-12-05,2025-12-11
"Distrikt Hotel New York City, Tapestry Collection by Hilton",1503474,4.5,6655,Unavailable,Unavailable,New York,2025-12-05,2025-12-11
"Martinique New York on Broadway, Curio Collection by Hilton",99425,4.2,515,Unavailable,Unavailable,New York,2025-12-05,2025-12-11
The Empire Hotel,671150,3.7,9350,Unavailable,Unavailable,New York,2025-12-05,2025-12-11
Hotel Riu Plaza New York Times Square,8515751,4.4,8202,Unavailable,Unavailable,New York,2025-12-05,2025-12-11
Kixby Hotel,99392,4.4,5375,Unavailable,Unavailable,New York,2025-12-05,2025-12-11
Lotte New York Palace,126260,4.4,7105,Unavailable,Unavailable,New York,2025-12-05,2025-12-11
Cambria Hotel New York - Chelsea,7130807,4.6,2049,Unavailable,Unavailable,New York,2025-12-05,2025-12-11
